total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
1853,10.567,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Sachaca,040114,040117,arequipa,arequipa,arequipa,sachaca,NA,NA,NA
1800,5.804,99.528,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Loreto,Maynas,Punchana,150111,160108,loreto,loreto,maynas,punchana,NA,NA,NA
1773,8.859,100,09:46 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Tacna,Tacna,Alto De La Alianza,220111,230102,tacna,tacna,tacna,alto de la alianza,NA,NA,NA
1747,6.417,92.857,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ucayali,Coronel Portillo,Manantay,250107,250107,ucayali,ucayali,coronel portillo,manantay,NA,NA,NA
1719,10.156,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,San Martin,San Martin,La Banda De Shilcayo,210621,220909,san-martin,san-martin,san martin,la banda de shilcayo,NA,NA,NA
1711,11.344,100,14:28 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Cañete,Mala,140408,150509,lima-provincias,lima-provincias,cañete,mala,NA,NA,NA
1661,12.782,100,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ica,Nasca,Nasca,100301,110301,ica,ica,nasca,nasca,NA,NA,NA
1641,10.702,100,11:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Sechura,Sechura,190801,200801,piura,piura,sechura,sechura,NA,NA,NA
1588,9.422,100,12:21 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,San Martin,Rioja,Nueva Cajamarca,210505,220804,san-martin,san-martin,rioja,nueva cajamarca,NA,NA,NA
1587,11.179,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ancash,Casma,Casma,020501,020801,ancash,ancash,casma,casma,NA,NA,NA
1580,6.591,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Cusco,Cusco,San Jeronimo,070104,080104,cusco,cusco,cusco,san jeronimo,NA,NA,NA
1575,16.428,100,11:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima,Lima,Santa Rosa,140129,150139,lima,lima,lima,santa rosa,NA,NA,NA
1557,5.5,98.98,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Loreto,Alto Amazonas,Yurimaguas,150201,160201,loreto,loreto,alto amazonas,yurimaguas,NA,NA,NA
1501,11.75,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,San Martin,San Martin,Morales,210611,220910,san-martin,san-martin,san martin,morales,NA,NA,NA
1461,7.029,100,20:22 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Tacna,Tacna,Ciudad Nueva,220112,230104,tacna,tacna,tacna,ciudad nueva,NA,NA,NA
1451,9.946,64.828,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Chepen,Chepen,120901,130401,la-libertad,la-libertad,chepen,chepen,NA,NA,NA
1443,6.112,99.367,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Sanchez Carrion,Huamachuco,120301,130901,la-libertad,la-libertad,sanchez carrion,huamachuco,NA,NA,NA
1408,10.278,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Islay,Mollendo,040701,040701,arequipa,arequipa,islay,mollendo,NA,NA,NA
