total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
3013,10.811,100,11:20 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Barranco,140125,150104,lima,lima,lima,barranco,NA,NA,NA
2998,17.964,100,09:46 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Huaura,Huaura,140507,150806,lima-provincias,lima-provincias,huaura,huaura,NA,NA,NA
2997,18.153,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lambayeque,Ferreñafe,Ferreñafe,130201,140201,lambayeque,lambayeque,ferreñafe,ferreñafe,NA,NA,NA
2995,20.529,64.828,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Chepen,Chepen,120901,130401,la-libertad,la-libertad,chepen,chepen,NA,NA,NA
2984,45.669,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Sechura,Vice,190802,200805,piura,piura,sechura,vice,NA,NA,NA
2937,9.68,100,11:20 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ancash,Huaraz,Huaraz,020101,020101,ancash,ancash,huaraz,huaraz,NA,NA,NA
2930,17.384,100,12:21 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,San Martin,Rioja,Nueva Cajamarca,210505,220804,san-martin,san-martin,rioja,nueva cajamarca,NA,NA,NA
2899,14.983,100,13:18 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Trujillo,Moche,120104,130107,la-libertad,la-libertad,trujillo,moche,NA,NA,NA
2892,10.216,98.98,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Loreto,Alto Amazonas,Yurimaguas,150201,160201,loreto,loreto,alto amazonas,yurimaguas,NA,NA,NA
2888,5.949,100,09:46 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ayacucho,Huamanga,Ayacucho,050101,050101,ayacucho,ayacucho,huamanga,ayacucho,NA,NA,NA
2872,5.759,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Cusco,Cusco,Santiago,070106,080106,cusco,cusco,cusco,santiago,NA,NA,NA
2868,28.082,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Barranca,Supe,140904,150204,lima-provincias,lima-provincias,barranca,supe,NA,NA,NA
2843,24.052,79,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,La Libertad,Pacasmayo,Guadalupe,120503,130702,la-libertad,la-libertad,pacasmayo,guadalupe,NA,NA,NA
2823,26.475,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lambayeque,Lambayeque,Motupe,130307,140307,lambayeque,lambayeque,lambayeque,motupe,NA,NA,NA
2762,16.462,88.889,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Amazonas,Utcubamba,Bagua Grande,010701,010701,amazonas,amazonas,utcubamba,bagua grande,NA,NA,NA
2682,21.321,69.672,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Junin,Chanchamayo,Pichanaqui,110805,120303,junin,junin,chanchamayo,pichanaqui,NA,NA,NA
2666,15.751,100,12:21 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,San Martin,San Martin,La Banda De Shilcayo,210621,220909,san-martin,san-martin,san martin,la banda de shilcayo,NA,NA,NA
2659,57.479,96.296,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Talara,Mancora,190705,200706,piura,piura,talara,mancora,NA,NA,NA
2622,24.066,100,11:20 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Cañete,Nuevo Imperial,140409,150510,lima-provincias,lima-provincias,cañete,nuevo imperial,NA,NA,NA
2582,13.941,100,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Cajamarca,Cutervo,Cutervo,060501,060601,cajamarca,cajamarca,cutervo,cutervo,NA,NA,NA
2578,23.548,100,11:50 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Huaura,Vegueta,140516,150812,lima-provincias,lima-provincias,huaura,vegueta,NA,NA,NA
2542,19.178,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ancash,Santa,Santa,021307,021808,ancash,ancash,santa,santa,NA,NA,NA
2481,21.034,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Cajamarca,Cajabamba,Cajabamba,060201,060201,cajamarca,cajamarca,cajabamba,cajabamba,NA,NA,NA
2450,18.827,100,09:46 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Huaura,Hualmay,140506,150805,lima-provincias,lima-provincias,huaura,hualmay,NA,NA,NA
